"Fecha","Tipo de dólar","Precio de venta","Precio de compra"
"3/01/2011","Casas de cambio","4.000",""
"3/01/2011","Informal","4.110",""
"4/01/2011","Casas de cambio","4.000",""
"4/01/2011","Informal","4.120",""
"5/01/2011","Casas de cambio","4.000",""
"5/01/2011","Informal","4.138",""
"6/01/2011","Casas de cambio","4.000",""
"6/01/2011","Informal","4.138",""
"7/01/2011","Casas de cambio","4.000",""
"7/01/2011","Informal","4.120",""
"10/01/2011","Casas de cambio","4.000",""
"10/01/2011","Informal","4.113",""
"11/01/2011","Casas de cambio","4.000",""
"11/01/2011","Informal","4.130",""
"12/01/2011","Casas de cambio","4.000",""
"12/01/2011","Informal","4.130",""
"13/01/2011","Casas de cambio","4.000",""
"13/01/2011","Informal","4.135",""
"14/01/2011","Casas de cambio","4.000",""
"14/01/2011","Informal","4.135",""
"17/01/2011","Casas de cambio","4.000",""
"17/01/2011","Informal","4.130",""
"18/01/2011","Casas de cambio","4.000",""
"18/01/2011","Informal","4.145",""
"19/01/2011","Casas de cambio","4.000",""
"19/01/2011","Informal","4.148",""
"20/01/2011","Casas de cambio","4.005",""
"20/01/2011","Informal","4.150",""
"21/01/2011","Casas de cambio","4.005",""
"21/01/2011","Informal","4.145",""
"24/01/2011","Casas de cambio","4.010",""
"24/01/2011","Informal","4.143",""
"25/01/2011","Casas de cambio","4.010",""
"25/01/2011","Informal","4.143",""
"26/01/2011","Casas de cambio","4.010",""
"26/01/2011","Informal","4.148",""
"27/01/2011","Casas de cambio","4.015",""
"27/01/2011","Informal","4.150",""
"28/01/2011","Casas de cambio","4.020",""
"28/01/2011","Informal","4.150",""
"31/01/2011","Casas de cambio","4.020",""
"31/01/2011","Informal","4.135",""
"1/02/2011","Casas de cambio","4.030",""
"1/02/2011","Informal","4.133",""
"2/02/2011","Casas de cambio","4.035",""
"2/02/2011","Informal","4.118",""
"3/02/2011","Casas de cambio","4.035",""
"3/02/2011","Informal","4.115",""
"4/02/2011","Casas de cambio","4.040",""
"4/02/2011","Informal","4.118",""
"7/02/2011","Casas de cambio","4.040",""
"7/02/2011","Informal","4.118",""
"8/02/2011","Casas de cambio","4.040",""
"8/02/2011","Informal","4.135",""
"9/02/2011","Casas de cambio","4.040",""
"9/02/2011","Informal","4.135",""
"10/02/2011","Casas de cambio","4.040",""
"10/02/2011","Informal","4.138",""
"11/02/2011","Casas de cambio","4.040",""
"11/02/2011","Informal","4.145",""
"14/02/2011","Casas de cambio","4.040",""
"14/02/2011","Informal","4.143",""
"15/02/2011","Casas de cambio","4.050",""
"15/02/2011","Informal","4.158",""
"16/02/2011","Casas de cambio","4.050",""
"16/02/2011","Informal","4.168",""
"17/02/2011","Casas de cambio","4.050",""
"17/02/2011","Informal","4.178",""
"18/02/2011","Casas de cambio","4.050",""
"18/02/2011","Informal","4.178",""
"21/02/2011","Casas de cambio","4.050",""
"21/02/2011","Informal","4.163",""
"22/02/2011","Casas de cambio","4.050",""
"22/02/2011","Informal","4.163",""
"23/02/2011","Casas de cambio","4.050",""
"23/02/2011","Informal","4.165",""
"24/02/2011","Casas de cambio","4.055",""
"24/02/2011","Informal","4.173",""
"25/02/2011","Casas de cambio","4.055",""
"25/02/2011","Informal","4.165",""
"28/02/2011","Casas de cambio","4.055",""
"28/02/2011","Informal","4.153",""
"1/03/2011","Casas de cambio","4.055",""
"1/03/2011","Informal","4.153",""
"2/03/2011","Casas de cambio","4.055",""
"2/03/2011","Informal","4.148",""
"3/03/2011","Casas de cambio","4.060",""
"3/03/2011","Informal","4.143",""
"4/03/2011","Casas de cambio","4.060",""
"4/03/2011","Informal","4.133",""
"9/03/2011","Casas de cambio","4.060",""
"9/03/2011","Informal","4.115",""
"10/03/2011","Casas de cambio","4.060",""
"10/03/2011","Informal","4.113",""
"11/03/2011","Casas de cambio","4.060",""
